Rank,Mountain,Height,Height_ft,Range,latitude,longitude,Parent mountain,First  ascent,Ascents  (failed attempts)  bef. 2004[7]
109,Lupghar Sar,"7,200","23,622",Hispar Karakoram,36.35028,75.03694,(109. Lupghar Sar (7200 m)) *,730,Momhil Sar,1979,1 (0)
79,Jomolhari,"7,326","24,035",Jomolhari Himalaya,27.82667,89.26778,(79. Jomolhari (7326 m)) *,"2,077",Gangkhar Puensum,1937,4 (0)
14,Shishapangma,"8,027","26,335",Jugal Himalaya,28.35333,85.77861,Cho Oyu,1964,43 (19)
3,Kangchenjunga,"8,586","28,169",Kangchenjunga Himalaya,27.70333,88.14750,(3. Kangchenjunga (8586 m)) *,"3,922",Mount Everest,1955,38 (24)
32,Jannu,"7,711","25,299",Kangchenjunga Himalaya,27.68222,88.04444,(32. Jannu (7711 m)) *,"1,036",Kangchenjunga,1962,17 (12)
57,Jongsong Peak,"7,462","24,482",Kangchenjunga Himalaya,27.88167,88.13583,Kangchenjunga,1930,2 (3)
65,Kabru N,"7,412","24,318",Kangchenjunga Himalaya,27.63389,88.11667,Kangchenjunga,1994,1 (2)[11]
76,Kirat Chuli,"7,362","24,153",Kangchenjunga Himalaya,27.78778,88.19528,Kangchenjunga,1939,1 (6)
117,Gimmigela / The Twins,"7,350","24,114",Kangchenjunga Himalaya,27.74083,88.15861,(Gimmigela / The Twins Kangchenjunga,1994,3 (1)
37,Kongur Tagh,"7,649","25,095",Kongur Shan (Eastern Pamirs),38.59333,75.31333,Distaghil Sar,1981,2 (4)
47,Kongur Tiube,"7,530","24,705",Kongur Shan (Eastern Pamirs),38.61583,75.19583,Kongur Tagh,1956,2 (3)
40,Gangkhar Puensum,"7,570","24,836",Kula Kangri Himalaya,28.04722,90.45528,(40. Gangkhar Puensum (7570 m)) *,"2,995",Kangchenjunga,unclimbed,0 (3)
46,Kula Kangri,"7,538","24,731",Kula Kangri Himalaya,28.22694,90.61639,Gangkhar Puensum,1986,3 (2)
100,Karjiang,"7,221","23,691",Kula Kangri Himalaya,28.25750,90.64694,Kula Kangri,unclimbed,0 (2)
75,Labuche Kang,"7,367","24,170",Labuche Himalaya,28.30417,86.35083,Cho Oyu,1987,1 (0)
94,Labuche Kang III / East[12],"7,250","23,786",Labuche Himalaya,28.30139,86.38389,Labuche Kang,unclimbed,0 (0)
112,Molamenqing,"7,703","25,272",Langtang Himalaya,28.35500,85.80972,(Molamenqing Shishapangma,1981,1 (0)
86,Porong Ri,"7,292","23,924",Langtang Himalaya,28.38944,85.72000,Shisha Pangma,1982,5 (0)
99,Langtang Lirung,"7,227","23,711",Langtang Himalaya,28.25611,85.51694,Shisha Pangma,1978,14 (13)
106,Langtang Ri,"7,205","23,638",Langtang Himalaya,28.38139,85.68361,Shisha Pangma,1981,4 (0)
103,Tongshanjiabu[13],"7,207","23,645",Lunana Himalaya,28.18667,89.95750,Gangkar Puensum,unclimbed,0 (0)
107,Kangphu Kang,"7,204","23,635",Lunana Himalaya,28.15556,90.06333,Tongshanjiabu,2002,1 (0)
1,Mount Everest /  Sagarmatha /  Chomolungma,"8,848[8]","29,029",Mahalangur Himalaya,27.98806,86.92528,none,1953,>>145 (121)
4,Lhotse,"8,516","27,940",Mahalangur Himalaya,27.96167,86.93306,Mount Everest,1956,26 (26)
5,Makalu,"8,485","27,838",Mahalangur Himalaya,27.88972,87.08889,Mount Everest,1955,45 (52)
6,Cho Oyu,"8,188","26,864",Mahalangur Himalaya,28.09417,86.66083,Mount Everest,1954,79 (28)
15,Gyachung Kang,"7,952","26,089",Mahalangur Himalaya,28.09806,86.74500,Cho Oyu,1964,5 (3)
111,Nuptse,"7,864","25,801",Mahalangur Himalaya,27.96750,86.88694,(Nuptse Lhotse,1961,5 (12)
24,Chomo Lonzo,"7,804","25,604",Mahalangur Himalaya,27.93056,87.10778,Makalu,1954,3 (1)
45,Changtse,"7,543","24,747",Mahalangur Himalaya,28.02472,86.91417,Mount Everest,1982,9 (9)
77,Nangpai Gosum,"7,350","24,114",Mahalangur Himalaya,28.07333,86.61417,Cho Oyu,1996,3 (1)
80,Chamlang,"7,321","24,019",Mahalangur Himalaya,27.77500,86.97972,Lhotse,1961,7 (1)
83,Siguang Ri,"7,309","23,980",Mahalangur Himalaya,28.14722,86.68500,Cho Oyu,1989,2 (1)
102,Khartaphu,"7,213","23,665",Mahalangur Himalaya,28.06361,86.97750,Mount Everest,1935,1 (0)
8,Manaslu,"8,163","26,781",Manaslu Himalaya,28.55000,84.55972,Cho Oyu,1956,49 (45)
18,Himalchuli,"7,893","25,896",Manaslu Himalaya,28.43667,84.63972,(18. Himalchuli (7893 m)) *,"1,633",Manaslu,1960,6 (12)
20,Ngadi Chuli,"7,871","25,823",Manaslu Himalaya,28.50333,84.56667,Manaslu,1970,2 (6)
22,Masherbrum / K1,"7,821","25,659",Masherbrum Karakoram,35.64111,76.30583,Gasherbrum I,1960,4 (9)
36,Chogolisa,"7,665","25,148",Masherbrum Karakoram,35.61306,76.57472,Masherbrum,1975,4 (2)
