t,id,lat,lng,available_bike_stands,available_bikes,delta
2015-11-03T00:04:00,31705,48.8645278209514,2.416170724425901,48,1,0
2015-11-03T00:04:00,10042,48.87242006305313,2.348395236282807,28,5,0
2015-11-03T00:04:00,8020,48.882148945631904,2.319860054774211,43,0,0
2015-11-03T00:04:00,1022,48.8682170167744,2.330493511399174,36,0,0
2015-11-03T00:04:00,35014,48.893268664697416,2.412715733388685,22,1,0
2015-11-03T00:04:00,20040,48.870393671603765,2.384222472712587,16,9,0
2015-11-03T00:04:00,28002,48.884478,2.24772065,15,45,0
2015-11-03T00:04:00,15111,48.834658862792736,2.295789480315903,0,24,0
2015-11-03T00:04:00,12124,48.839041145908176,2.437655339082955,16,39,0
2015-11-03T00:04:00,9021,48.877872278317966,2.337446804203667,7,15,0
2015-11-03T00:04:00,7007,48.85971010443503,2.325809024625026,17,48,0
2015-11-03T00:04:00,20011,48.85550135398888,2.405168520639166,11,10,0
2015-11-03T00:04:00,33006,48.9101436710038,2.38505201824411,0,0,0
2015-11-03T00:04:00,5005,48.844730256132095,2.341923944866407,21,0,0
2015-11-03T00:04:00,11029,48.8666176586814,2.38301344041578,6,34,0
2015-11-03T00:04:00,4020,48.86008832610481,2.350148335920203,27,1,0
2015-11-03T00:04:00,7012,48.854268334051035,2.319454010061415,14,22,0
2015-11-03T00:04:00,19019,48.886389634924626,2.393637514433606,6,16,0
2015-11-03T00:04:00,14113,48.83512886504287,2.34157863455693,28,9,0
2015-11-03T00:04:00,15028,48.851396721123486,2.291889313228121,1,68,0
2015-11-03T00:04:00,22005,48.8842989293728,2.26099177209953,22,0,0
2015-11-03T00:04:00,20027,48.8691543609174,2.40932246879487,15,0,0
2015-11-03T00:04:00,18042,48.882728090545086,2.336262639016585,13,7,0
2015-11-03T00:04:00,11008,48.850379753879935,2.38386933547444,25,15,0
2015-11-03T00:04:00,19038,48.8755503947562,2.389038160847546,16,2,0
2015-11-03T00:04:00,13037,48.824695995415006,2.363106073577468,13,7,0
2015-11-03T00:04:00,13040,48.819941965677195,2.36507858638901,44,0,0
2015-11-03T00:04:00,16027,48.85286124871689,2.268483570651513,23,38,0
2015-11-03T00:04:00,15118,48.84319882807092,2.322257377279243,22,0,0
2015-11-03T00:04:00,6006,48.84479928858768,2.329337755887181,18,1,0
2015-11-03T00:04:00,20015,48.8571433920909,2.398472,22,16,0
2015-11-03T00:04:00,9005,48.882633484310816,2.344884406212207,32,1,0
2015-11-03T00:04:00,8031,48.86970884795243,2.310714655374236,33,0,0
2015-11-03T00:04:00,12015,48.846964359503055,2.399868277428793,32,4,0
2015-11-03T00:04:00,14120,48.82195530645611,2.326806869905884,14,6,0
2015-11-03T00:04:00,9007,48.87983122511022,2.345396338986368,13,7,0
2015-11-03T00:04:00,9019,48.881149033952994,2.336681004295117,2,15,0
2015-11-03T00:04:00,15040,48.83411714783768,2.308850015466539,7,28,0
2015-11-03T00:04:00,14013,48.82122766331853,2.342104214557966,2,12,0
2015-11-03T00:04:00,42201,48.823963252286866,2.399998420132992,6,20,0
2015-11-03T00:04:00,11038,48.865745077094815,2.365312950780227,34,11,0
2015-11-03T00:04:00,18019,48.891877957087424,2.335447427689794,41,8,0
2015-11-03T00:04:00,901,48.86138,2.32442,3,17,0
2015-11-03T00:04:00,15064,48.84629491826888,2.278413912593796,18,26,0
2015-11-03T00:04:00,12031,48.835138050689515,2.385478486564838,16,20,0
2015-11-03T00:04:00,13021,48.82603516605852,2.342176808004326,16,31,0
2015-11-03T00:04:00,34002,48.90259224163092,2.330513564840273,10,16,0
2015-11-03T00:04:00,2005,48.865021945810085,2.345068440144759,15,0,0
2015-11-03T00:04:00,22012,48.8827499154713,2.27740638127753,3,22,0
2015-11-03T00:04:00,5104,48.841916179825965,2.358912681317667,17,38,0
2015-11-03T00:04:00,31008,48.857702134021,2.43736866129498,53,2,0
2015-11-03T00:04:00,15062,48.84214433157821,2.285862655943941,6,30,0
2015-11-03T00:04:00,4012,48.85579663740384,2.357907882135172,5,23,0
2015-11-03T00:04:00,3011,48.86558419108518,2.356278447633629,1,30,0
2015-11-03T00:04:00,20017,48.8569749400317,2.408842457406961,18,9,0
2015-11-03T00:04:00,18028,48.89405725132698,2.332199335980013,28,5,0
2015-11-03T00:04:00,12024,48.83976,2.38241,33,1,0
2015-11-03T00:04:00,11113,48.86651607982108,2.369322530407524,36,20,0
2015-11-03T00:04:00,21015,48.827600424128306,2.241835191324587,5,18,0
2015-11-03T00:04:00,42015,48.8185,2.37427,12,13,0
2015-11-03T00:04:00,5002,48.850310432924466,2.345015835298588,29,0,0
2015-11-03T00:04:00,10040,48.87277815648997,2.376348394645978,40,7,0
2015-11-03T00:04:00,13018,48.83484845292942,2.366826499627087,9,16,0
2015-11-03T00:04:00,13026,48.823316172177535,2.35433694417225,6,28,0
2015-11-03T00:04:00,19028,48.876468339733144,2.392284629788502,19,0,0
2015-11-03T00:04:00,10008,48.8707649818776,2.35872446227434,4,14,0
2015-11-03T00:04:00,6015,48.853751073467855,2.339113722899687,27,27,0
2015-11-03T00:04:00,43006,48.841486856300165,2.430793451133684,17,10,0
2015-11-03T00:04:00,15054,48.83797034201205,2.287582307043615,0,19,0
2015-11-03T00:04:00,11043,48.862650300140295,2.367053490449912,2,18,0
2015-11-03T00:04:00,5024,48.84273504298964,2.352472437223356,2,19,0
2015-11-03T00:04:00,15036,48.84307638694992,2.29514141310447,9,38,0
2015-11-03T00:04:00,42504,48.81444017962381,2.341070654172592,30,0,0
