Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:57:29 2014

write_fb:
  file_in:       laser3k0075002.dat
  laser_period:  3k
  track:         0075
  cycle:         002
  file_out:      laser3k0075002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     14
  Hour:                     9
  Minute:                  14
  Doy:                    288
  record_count:          1508
  non_zero_count:        1502
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   75.645299  348.630355    0.108561    0.231202
   75.646782  348.628513    0.143274    0.305129
   75.648266  348.626669    0.189637    0.403868
   75.649750  348.624824    0.313593    0.667856
   75.651237  348.622973    0.316616    0.674294
   75.652725  348.621117    0.231739    0.493532
   75.654214  348.619259    0.406007    1.167677
   75.655705  348.617401    0.395653    1.070333
   75.657195  348.615545    0.363313    0.773744
   75.658687  348.613691    0.183847    0.391539
   75.660178  348.611837    0.271420    0.578042
   75.661670  348.609982    0.163189    0.347541
   75.663161  348.608125    0.239727    0.510544
   75.664653  348.606265    0.145699    0.310293
   75.666144  348.604403    0.241415    0.514141
   75.667635  348.602538    0.095841    0.204112
   75.669123  348.600667    0.151182    0.321970
   75.670609  348.598789    0.133044    0.283342
   75.672094  348.596911    0.177639    0.378317
   75.673579  348.595033    0.150461    0.320436
   75.675064  348.593163    0.061626    0.131243
   75.676551  348.591300    0.118194    0.251716
   75.678037  348.589439    0.094695    0.201671
   75.679523  348.587580    0.134804    0.287092
   75.681008  348.585719    0.102464    0.218217
   75.682492  348.583856    0.117177    0.249551
   75.683975  348.581992    0.050229    0.106972
   75.685457  348.580129    0.121611    0.258993
   75.686937  348.578264    0.157277    0.334951
   75.695825  348.567128    0.107198    0.228299
   75.698794  348.563438    0.137023    0.291816
   75.700278  348.561589    0.118837    0.253087
   75.701762  348.559737    0.065719    0.139962
   75.704733  348.556023    0.121904    0.259619
   75.706220  348.554159    0.153421    0.326741
   75.707709  348.552292    0.098093    0.208907
   75.710688  348.548553    0.193229    0.411518
   75.712179  348.546682    0.107991    0.229987
   75.716650  348.541066    0.135771    0.289150
   75.718139  348.539195    0.203856    0.434151
   75.719628  348.537322    0.157493    0.335412
   75.722602  348.533564    0.127649    0.271853
   75.724089  348.531676    0.082387    0.175459
   75.725574  348.529786    0.235313    0.501145
   75.727058  348.527896    0.186858    0.397950
   75.728541  348.526007    0.187391    0.399084
   75.731503  348.522237    0.112729    0.240077
   75.732983  348.520357    0.128710    0.274112
   75.734462  348.518483    0.146680    0.312383
   75.735941  348.516615    0.180015    0.383376
   75.737420  348.514750    0.252547    0.537847
   75.738899  348.512887    0.190125    0.404908
   75.740380  348.511024    0.161676    0.344319
   75.741861  348.509160    0.172393    0.367145
   75.753734  348.494180    0.148616    0.316505
   75.756712  348.490448    0.136318    0.290316
   75.758202  348.488582    0.224707    0.478557
   75.759692  348.486714    0.260747    0.555311
   75.764162  348.481096    0.196986    0.419520
   75.767137  348.477330    0.193298    0.411665
   75.768624  348.475443    0.216503    0.461085
   75.770111  348.473555    0.247721    0.527569
   75.771598  348.471664    0.237697    0.506221
   75.773085  348.469773    0.125916    0.268162
   75.776055  348.465995    0.154765    0.329601
   75.777539  348.464109    0.269011    0.572911
   75.779021  348.462224    0.260095    0.553923
   75.780503  348.460338    0.238790    0.508550
   75.781984  348.458451    0.251823    0.536306
   75.783465  348.456562    0.193190    0.411436
   75.784946  348.454673    0.190957    0.406680
   75.786428  348.452783    0.255108    0.543302
   75.787910  348.450894    0.163684    0.348597
   75.789392  348.449005    0.236697    0.504091
   75.790875  348.447116    0.220075    0.468693
   75.793839  348.443346    0.113759    0.242272
   75.795319  348.441465    0.328033    0.698610
   75.796799  348.439585    0.112494    0.239577
   75.798279  348.437705    0.165595    0.352666
   75.799763  348.435822    0.179780    0.382877
   75.801249  348.433937    0.131602    0.280271
   75.802737  348.432051    0.210892    0.449136
   75.804225  348.430164    0.202452    0.431159
   75.805712  348.428278    0.174168    0.370924
   75.807199  348.426392    0.226649    0.482692
   75.810172  348.422619    0.166742    0.355109
   75.811659  348.420734    0.227024    0.483491
   75.813145  348.418850    0.134916    0.287329
   75.814632  348.416964    0.118839    0.253091
   75.816118  348.415078    0.258152    0.549784
   75.817605  348.413188    0.140677    0.299599
   75.819092  348.411296    0.108829    0.231773
   75.820578  348.409403    0.218738    0.465845
   75.823548  348.405614    0.316317    0.673658
   75.825030  348.403720    0.143145    0.304855
   75.826512  348.401824    0.225358    0.479943
   75.827992  348.399928    0.194628    0.414497
   75.830950  348.396129    0.181358    0.386236
   75.832428  348.394228    0.220456    0.469503
   75.835385  348.390424    0.176149    0.375143
   75.836865  348.388522    0.132723    0.282659
   75.838346  348.386620    0.205837    0.438370
   75.841309  348.382812    0.234289    0.498964
   75.842792  348.380904    0.189259    0.403062
   75.844276  348.378995    0.185219    0.394460
   75.845761  348.377087    0.221838    0.472447
   75.847246  348.375178    0.105710    0.225129
   75.850219  348.371365    0.152564    0.324914
   75.851705  348.369462    0.167609    0.356956
   75.853193  348.367564    0.066167    0.140915
   75.857657  348.361891    0.149705    0.318826
   75.859145  348.359999    0.160134    0.341037
   75.860633  348.358104    0.206109    0.438948
   75.862121  348.356209    0.224535    0.478190
   75.863608  348.354313    0.192905    0.410829
   75.865093  348.352418    0.284462    0.605818
   75.866577  348.350522    0.207866    0.442690
   75.868060  348.348626    0.202602    0.431479
   75.869543  348.346728    0.103341    0.220084
   75.871025  348.344827    0.186147    0.396436
   75.872507  348.342923    0.266695    0.567978
   75.873989  348.341018    0.266802    0.568207
   75.875470  348.339113    0.156608    0.333527
   75.876950  348.337209    0.277486    0.590960
   75.878430  348.335306    0.198985    0.423778
   75.881388  348.331494    0.211324    0.450055
   75.882869  348.329580    0.189964    0.404565
   75.884350  348.327661    0.348033    0.741203
   75.885832  348.325739    0.164657    0.350670
   75.887314  348.323817    0.212664    0.452909
   75.888795  348.321898    0.294533    0.627266
   75.890277  348.319982    0.186637    0.397480
   75.891758  348.318067    0.232095    0.494290
   75.893240  348.316154    0.157043    0.334453
   75.894722  348.314243    0.245851    0.523588
   75.896205  348.312333    0.229065    0.487838
   75.899172  348.308515    0.147607    0.314357
   75.902139  348.304697    0.301002    0.641041
   75.903624  348.302787    0.227230    0.483930
   75.905108  348.300877    0.247258    0.526585
   75.906594  348.298966    0.223472    0.475926
   75.908079  348.297054    0.183011    0.389758
   75.909564  348.295142    0.372375    0.861785
   75.911050  348.293232    0.240755    0.512734
   75.912535  348.291325    0.298086    0.634832
   75.915505  348.287520    0.229177    0.488077
   75.916990  348.285617    0.239313    0.509663
   75.918476  348.283711    0.262852    0.559793
   75.919962  348.281803    0.260720    0.555252
   75.921447  348.279891    0.257272    0.547911
   75.922933  348.277977    0.217284    0.462748
   75.924417  348.276059    0.236050    0.502713
   75.925900  348.274136    0.124734    0.265644
   75.927383  348.272211    0.157689    0.335829
   75.928864  348.270285    0.208660    0.444381
   75.930345  348.268359    0.204663    0.435869
   75.931824  348.266435    0.202476    0.431212
   75.933303  348.264511    0.299968    0.638840
   75.934781  348.262588    0.316913    0.674928
   75.936260  348.260669    0.362362    0.771720
   75.937738  348.258752    0.212914    0.453440
   75.939216  348.256835    0.179950    0.383239
   75.940695  348.254917    0.189717    0.404038
   75.942174  348.252994    0.279859    0.596014
   75.943653  348.251066    0.147918    0.315021
   75.945133  348.249137    0.165833    0.353173
   75.946614  348.247207    0.210410    0.448109
   75.948097  348.245280    0.157050    0.334467
   75.949582  348.243356    0.228087    0.485756
   75.951067  348.241432    0.211998    0.451491
   75.952553  348.239508    0.137971    0.293836
   75.954039  348.237584    0.191539    0.407920
