Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:58:25 2014

write_fb:
  file_in:       laser3k0131002.dat
  laser_period:  3k
  track:         0131
  cycle:         002
  file_out:      laser3k0131002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     18
  Hour:                     3
  Minute:                  26
  Doy:                    292
  record_count:          3766
  non_zero_count:        3749
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   82.665507   56.292222    0.295278    1.957423
   82.666806   56.285497    0.296039    1.964307
   82.668105   56.278762    0.303519    2.034385
   82.669404   56.272026    0.248671    1.518135
   82.670702   56.265293    0.170944    0.786652
   82.673300   56.251882    0.218479    1.233268
   82.674598   56.245188    0.266840    1.687935
   82.675896   56.238497    0.153005    0.616770
   82.677195   56.231810    0.248313    1.513080
   82.678493   56.225122    0.354225    2.509150
   82.679791   56.218431    0.343619    2.409101
   82.681088   56.211735    0.318915    2.176416
   82.682383   56.205023    0.408849    3.022173
   82.683676   56.198303    0.317396    2.161563
   82.684969   56.191578    0.292323    1.925415
   82.686262   56.184850    0.322949    2.213242
   82.687555   56.178119    0.351703    2.483462
   82.690142   56.164664    0.262904    1.647545
   82.691437   56.157946    0.241991    1.450529
   82.692735   56.151257    0.275476    1.765248
   82.696635   56.131222    0.236279    1.395667
   82.699226   56.117799    0.373223    2.683393
   82.700520   56.111070    0.239246    1.422745
   82.703104   56.097584    0.287549    1.876589
   82.704396   56.090828    0.336686    2.338556
   82.705688   56.084067    0.164949    0.722687
   82.706981   56.077302    0.369799    2.649498
   82.708280   56.070541    0.277647    1.782313
   82.709580   56.063780    0.307476    2.062643
   82.710880   56.057015    0.321377    2.193133
   82.712180   56.050244    0.246762    1.490921
   82.713476   56.043468    0.367851    2.629766
   82.714771   56.036685    0.117882    0.277947
   82.716064   56.029895    0.033794    0.073228
   82.722524   55.995793    0.129268    0.383379
   82.725112   55.982192    0.147171    0.551245
   82.726406   55.975405    0.138976    0.473874
   82.727700   55.968624    0.153280    0.608159
   82.728993   55.961854    0.154685    0.621096
   82.731578   55.948321    0.168364    0.749222
   82.735450   55.927954    0.115862    0.254490
   82.738030   55.914336    0.112282    0.243305
   82.739321   55.907530    0.000152    0.000329
   82.740613   55.900725    0.161332    0.681134
   82.741905   55.893922    0.124081    0.330418
   82.744493   55.880333    0.115658    0.250626
   82.745788   55.873547    0.136202    0.443612
   82.747084   55.866757    0.156859    0.637662
   82.748380   55.859957    0.172157    0.781294
   82.749675   55.853129    0.102047    0.221128
   82.750969   55.846285    0.133444    0.416555
   82.752262   55.839430    0.119487    0.284975
   82.753554   55.832564    0.131084    0.393797
   82.757417   55.811928    0.165763    0.719200
   82.771609   55.736349    0.173303    0.787070
   82.772899   55.729447    0.085099    0.184402
   82.779359   55.694931    0.159490    0.655452
   82.781943   55.681188    0.087695    0.190029
   82.783235   55.674325    0.129756    0.374908
   82.784526   55.667462    0.179425    0.841878
   82.785815   55.660589    0.384260    2.768554
   82.787103   55.653711    0.342461    2.375056
   82.788390   55.646830    0.364246    2.579721
   82.789678   55.639945    0.288340    1.865374
   82.790966   55.633055    0.366692    2.602174
   82.792254   55.626163    0.408372    2.994000
   82.793542   55.619269    0.419238    3.095937
   82.794831   55.612374    0.293912    1.916682
   82.796120   55.605490    0.400773    2.921677
   82.797409   55.598606    0.367230    2.605847
   82.798698   55.591714    0.346737    2.412793
   82.799986   55.584811    0.368871    2.620736
   82.801273   55.577878    0.322881    2.187813
   82.802558   55.570925    0.366294    2.595939
   82.803844   55.563959    0.303865    2.008369
   82.805130   55.556981    0.394197    2.857877
   82.806416   55.549985    0.366942    2.601194
   82.807703   55.542983    0.407668    2.984044
   82.808991   55.535979    0.383202    2.753603
   82.810278   55.528981    0.426197    3.157797
   82.811565   55.522011    0.449792    3.379480
   82.812853   55.515054    0.360660    2.540715
   82.814140   55.508103    0.276594    1.749598
   82.815428   55.501153    0.300627    1.975406
   82.818010   55.487231    0.096443    0.208985
   82.819301   55.480265    0.135529    0.421433
   82.821879   55.466315    0.134585    0.412003
   82.823164   55.459332    0.147433    0.532583
   82.829587   55.424485    0.179225    0.830284
   82.832161   55.410601    0.342420    2.364959
   82.833449   55.403671    0.711113    5.833098
   82.834738   55.396734    0.373293    2.654834
   82.836026   55.389784    0.405641    2.958869
   82.838592   55.375776    0.454888    3.421598
   82.839874   55.368748    0.591690    4.708256
   82.841155   55.361713    0.390613    2.816381
   82.842437   55.354684    0.416642    3.060966
   82.843719   55.347656    0.345341    2.389942
   82.845002   55.340629    0.268100    1.663028
   82.846286   55.333604    0.420300    3.094553
   82.847573   55.326589    0.380822    2.722893
   82.848861   55.319577    0.374845    2.666384
   82.850149   55.312561    0.296162    1.925907
   82.852720   55.298500    0.259642    1.581794
