Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:57:25 2014

write_fb:
  file_in:       laser3k0071002.dat
  laser_period:  3k
  track:         0071
  cycle:         002
  file_out:      laser3k0071002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     14
  Hour:                     2
  Minute:                  47
  Doy:                    288
  record_count:          3111
  non_zero_count:        3096
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   83.887903   60.073911    0.344033    2.268761
   83.889075   60.064355    0.193277    0.850300
   83.890247   60.054803    0.127341    0.271196
   83.891419   60.045254    0.259526    1.473022
   83.892590   60.035713    0.272803    1.597669
   83.893761   60.026174    0.068254    0.145360
   83.894931   60.016636    0.163243    0.566500
   83.896100   60.007096    0.150363    0.445085
   83.897269   59.997553    0.191903    0.835612
   83.898437   59.988006    0.043873    0.093436
   83.899605   59.978454    0.271168    1.580784
   83.900773   59.968895    0.278294    1.647571
   83.901941   59.959328    0.252666    1.406228
   83.903110   59.949753    0.318232    2.022774
   83.904280   59.940170    0.271863    1.586318
   83.905449   59.930578    0.317009    2.010766
   83.906619   59.920981    0.275850    1.623321
   83.907789   59.911373    0.133765    0.286427
   83.910131   59.892117    0.222718    1.122734
   83.911303   59.882461    0.082380    0.175444
   83.912476   59.872791    0.000000    0.000000
   83.913649   59.863107    0.414329    2.924520
   83.917169   59.833964    0.313782    1.977888
   83.918343   59.824234    0.291167    1.764888
   83.919516   59.814505    0.373732    2.541350
   83.920690   59.804788    0.347819    2.297329
   83.921863   59.795075    0.311123    1.951855
   83.924207   59.775664    0.322749    2.060721
   83.925378   59.765967    0.571487    4.400430
   83.926547   59.756275    0.409788    2.879021
   83.927715   59.746589    0.367490    2.480865
   83.928882   59.736907    0.310294    1.942547
   83.930045   59.727229    0.266566    1.530929
   83.931207   59.717556    0.317289    2.007855
   83.933528   59.698224    0.401699    2.801421
   83.934689   59.688570    0.295172    1.799041
   83.937013   59.669267    0.277505    1.632341
   83.938175   59.659614    0.276148    1.619318
   83.939339   59.649957    0.535083    4.054956
   83.940504   59.640293    0.338492    2.205315
   83.941669   59.630622    0.312239    1.958086
   83.942834   59.620940    0.400964    2.792505
   83.943998   59.611240    0.321145    2.041368
   83.945161   59.601528    0.305523    1.894152
   83.946325   59.591805    0.266115    1.523185
   83.947490   59.582070    0.317698    2.008192
   83.950992   59.552804    0.218539    1.074607
   83.952161   59.543019    0.287217    1.720433
   83.953330   59.533210    0.300292    1.843186
   83.954498   59.523389    0.308190    1.917232
   83.955667   59.513558    0.337951    2.196947
   83.956836   59.503721    0.315843    1.988719
   83.958004   59.493883    0.245749    1.329070
   83.959171   59.484043    0.216006    1.049017
   83.960338   59.474203    0.378659    2.578894
   83.961504   59.464364    0.431322    3.074054
   83.962669   59.454532    0.318229    2.009904
   83.963834   59.444701    0.314839    1.977764
   83.964997   59.434873    0.268061    1.537453
   83.966160   59.425047    0.271363    1.568262
   83.967322   59.415220    0.225359    1.135237
   83.968483   59.405396    0.385146    2.638153
   83.969644   59.395572    0.248396    1.351447
   83.970805   59.385751    0.319767    2.022610
   83.971965   59.375932    0.278451    1.633682
   83.973124   59.366114    0.308689    1.917897
   83.974284   59.356299    0.269095    1.545169
   83.975443   59.346487    0.314389    1.971013
   83.976601   59.336681    0.281464    1.661022
   83.977759   59.326878    0.297812    1.814568
   83.978917   59.317074    0.391132    2.692209
   83.980076   59.307270    0.270423    1.556405
   83.981236   59.297467    0.320628    2.028452
   83.982396   59.287660    0.354602    2.347806
   83.983557   59.277847    0.323669    2.056556
   83.984716   59.268024    0.428768    3.045014
   83.985875   59.258184    0.388640    2.667264
   83.987033   59.248334    0.349485    2.298670
   83.988191   59.238475    0.316381    1.986991
   83.989347   59.228609    0.304415    1.874177
   83.990503   59.218738    0.322512    2.044170
   83.991658   59.208859    0.276839    1.614262
   83.992814   59.198969    0.107674    0.229313
   83.993971   59.189067    0.201599    0.905947
   83.995132   59.179148    0.317338    1.994491
   83.996294   59.169216    0.394336    2.718591
   83.997456   59.159274    0.335287    2.162838
   83.998618   59.149321    0.222794    1.104324
   83.999779   59.139356    0.165464    0.564751
   84.000940   59.129384    0.370842    2.496561
   84.002100   59.119407    0.318707    2.005855
   84.003259   59.109427    0.275438    1.598560
   84.004418   59.099448    0.273119    1.576492
   84.005576   59.089470    0.440790    3.153578
   84.006733   59.079493    0.372803    2.513751
   84.007889   59.069517    0.413017    2.891810
   84.009045   59.059543    0.362899    2.420074
   84.010199   59.049575    0.365467    2.443989
   84.011353   59.039614    0.318270    1.999732
