Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:58:27 2014

write_fb:
  file_in:       laser3k0133002.dat
  laser_period:  3k
  track:         0133
  cycle:         002
  file_out:      laser3k0133002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     18
  Hour:                     6
  Minute:                  40
  Doy:                    292
  record_count:          4758
  non_zero_count:        4736
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   81.482095   13.004031    0.355547    1.789068
   81.483462   12.999034    0.396203    2.171363
   81.484829   12.994037    0.382186    2.039327
   81.486196   12.989042    0.287833    1.151545
   81.487564   12.984055    0.338449    1.627535
   81.488932   12.979068    0.313176    1.389603
   81.490299   12.974081    0.291717    1.187566
   81.491666   12.969090    0.245076    0.748619
   81.497122   12.949066    0.230509    0.610894
   81.498486   12.944047    0.363067    1.857740
   81.499849   12.939026    0.421437    2.406676
   81.503938   12.923969    0.381667    2.032026
   81.505300   12.918955    0.493463    3.083556
   81.508023   12.908923    0.489857    3.049293
   81.509383   12.903897    0.345144    1.687751
   81.510742   12.898867    0.329424    1.539693
   81.512103   12.893835    0.146101    0.316590
   81.531254   12.823179    0.000000    0.000000
   81.532621   12.818131    0.012357    0.026777
   81.540813   12.787754    0.000000    0.000000
   81.610246   12.527555    0.363299    1.845933
   81.611611   12.522404    0.316633    1.406764
   81.612978   12.517245    0.460329    2.758391
   81.614347   12.512083    0.309189    1.336397
   81.615715   12.506919    0.432939    2.500389
   81.617084   12.501754    0.380697    2.008760
   81.618451   12.496590    0.416150    2.342106
   81.619818   12.491425    0.488702    3.024462
   81.621184   12.486257    0.490732    3.043390
   81.622550   12.481088    0.422952    2.405587
   81.623916   12.475907    0.379670    1.998256
   81.625281   12.470726    0.314358    1.383671
   81.626644   12.465548    0.480675    2.948099
   81.630717   12.450078    0.322401    1.458657
   81.632070   12.444936    0.357508    1.788760
   81.633423   12.439797    0.372828    1.932713
   81.634775   12.434655    0.533156    3.440798
   81.636127   12.429512    0.536279    3.470009
   81.637479   12.424368    0.461525    2.766606
   81.638830   12.419222    0.353302    1.748354
   81.640181   12.414078    0.817382    6.113945
   81.641532   12.408930    0.708995    5.094145
   81.642883   12.403776    0.446123    2.621048
   81.648306   12.383062    0.433204    2.498838
   81.649664   12.377869    0.506725    3.190314
   81.651022   12.372679    0.359109    1.801467
   81.652380   12.367486    0.373389    1.935639
   81.653740   12.362290    0.435990    2.524378
   81.659195   12.341464    0.266224    0.926652
   81.660560   12.336250    0.229485    0.580871
   81.661924   12.331036    0.322657    1.457203
   81.663288   12.325819    0.279765    1.053537
   81.670096   12.299720    0.428779    2.454519
   81.671457   12.294496    0.460999    2.757449
   81.672819   12.289266    0.370215    1.903242
   81.674181   12.284037    0.445143    2.607951
   81.675541   12.278808    0.509142    3.209841
   81.676900   12.273583    0.383585    2.028512
   81.678255   12.268371    0.478658    2.922732
   81.679608   12.263161    0.618352    4.236711
   81.680960   12.257951    0.456673    2.715574
   81.682312   12.252740    0.472969    2.868710
   81.683662   12.247515    0.455929    2.708243
   81.685013   12.242288    0.384729    2.038269
   81.686364   12.237060    0.372508    1.923134
   81.687715   12.231833    0.367403    1.874940
   81.689067   12.226620    0.410713    2.282204
   81.690420   12.221407    0.259825    0.862586
   81.691774   12.216192    0.265004    0.911137
   81.693128   12.210975    0.484614    2.976915
   81.694482   12.205748    0.325003    1.475234
   81.695837   12.200515    0.263288    0.894486
   81.697192   12.195275    0.277514    1.028153
   81.698548   12.190028    0.330525    1.526678
   81.699905   12.184768    0.421208    2.379593
   81.701262   12.179501    0.472741    2.864212
   81.702620   12.174230    0.403764    2.215154
   81.703980   12.168956    0.428438    2.447099
   81.705343   12.163687    0.341543    1.629483
   81.706706   12.158416    0.301314    1.250862
   81.708070   12.153144    0.407252    2.247285
   81.709434   12.147869    0.512479    3.237025
   81.710798   12.142589    0.378079    1.972507
   81.712161   12.137307    0.442814    2.581327
   81.713524   12.132022    0.353110    1.737276
   81.714886   12.126737    0.300578    1.242923
   81.716249   12.121453    0.298811    1.226135
   81.717611   12.116169    0.481316    2.942846
   81.718972   12.110883    0.393011    2.111969
   81.721687   12.100296    0.349150    1.699015
   81.723042   12.094997    0.283485    1.081114
   81.724395   12.089702    0.330896    1.526955
   81.725746   12.084414    0.363453    1.833063
   81.727095   12.079152    0.391789    2.099461
   81.728443   12.073895    0.368288    1.878208
   81.729790   12.068640    0.430634    2.464557
   81.731136   12.063383    0.362948    1.827639
   81.732483   12.058106    0.254961    0.811602
   81.733829   12.052825    0.355280    1.755167
   81.735176   12.047540    0.364263    1.839504
   81.736524   12.042254    0.355620    1.758035
   81.737872   12.036975    0.330245    1.519154
   81.739221   12.031694    0.295703    1.194034
   81.740571   12.026408    0.313063    1.357174
   81.741922   12.021116    0.398992    2.165377
   81.743277   12.015805    0.286073    1.102939
   81.744633   12.010487    0.151310    0.327876
   81.750062   11.989198    0.207958    0.450627
   81.751420   11.983873    0.265950    0.912623
   81.752779   11.978544    0.280993    1.053970
   81.754138   11.973203    0.283334    1.075818
   81.755497   11.967859    0.300015    1.232572
   81.756857   11.962513    0.333384    1.546319
   81.758216   11.957168    0.328104    1.496484
   81.759574   11.951831    0.316740    1.389414
   81.760931   11.946496    0.346559    1.669771
   81.762288   11.941161    0.284334    1.084237
   81.763644   11.935826    0.369536    1.885589
   81.765001   11.930487    0.147739    0.320138
   81.767711   11.919805    0.249642    0.757217
   81.769065   11.914464    0.243220    0.696633
   81.770415   11.909119    0.264684    0.898390
   81.771764   11.903775    0.305798    1.285004
   81.773112   11.898434    0.317108    1.391235
   81.774460   11.893096    0.205440    0.445172
   81.775810   11.887773    0.243488    0.698336
   81.777160   11.882452    0.306563    1.291543
   81.778511   11.877131    0.304704    1.273890
   81.779861   11.871807    0.270791    0.954699
   81.781211   11.866468    0.304981    1.276172
   81.782561   11.861125    0.359265    1.786676
   81.783911   11.855777    0.362827    1.820019
   81.785261   11.850426    0.409157    2.255691
   81.786610   11.845074    0.317627    1.394477
   81.787959   11.839719    0.417801    2.336688
   81.789309   11.834361    0.355861    1.753826
   81.790659   11.828997    0.350203    1.700442
   81.792011   11.823624    0.349449    1.693184
   81.794717   11.812868    0.291090    1.143847
   81.796072   11.807488    0.391974    2.092730
   81.797427   11.802116    0.325994    1.471873
   81.798784   11.796743    0.253583    0.790514
   81.800141   11.791367    0.385689    2.033116
   81.801498   11.785987    0.261779    0.867285
   81.802856   11.780590    0.373285    1.916095
   81.804213   11.775190    0.299863    1.225229
   81.805571   11.769790    0.246669    0.724653
   81.813686   11.737494    0.367856    1.863707
   81.815034   11.732107    0.394664    2.115738
   81.816380   11.726720    0.252108    0.774502
   81.817726   11.721331    0.273207    0.972826
   81.819072   11.715943    0.289677    1.127596
   81.820418   11.710553    0.321040    1.422481
   81.821763   11.705161    0.366974    1.854429
   81.823109   11.699768    0.316408    1.378573
   81.824454   11.694370    0.410333    2.261993
   81.825799   11.688971    0.373364    1.914046
   81.828491   11.678165    0.336580    1.567683
   81.829839   11.672761    0.430118    2.447458
   81.831187   11.667353    0.339151    1.591539
   81.832537   11.661944    0.213032    0.461624
   81.833886   11.656531    0.360907    1.795878
   81.835237   11.651114    0.315387    1.367491
   81.836588   11.645694    0.229145    0.556020
   81.837940   11.640269    0.358997    1.777414
   81.839292   11.634840    0.262447    0.868975
   81.840644   11.629404    0.298907    1.211800
   81.841997   11.623963    0.331269    1.516081
   81.843349   11.618519    0.380111    1.975383
   81.844702   11.613071    0.287628    1.105203
   81.846054   11.607621    0.436637    2.506814
   81.848758   11.596716    0.318025    1.390659
   81.850109   11.591262    0.279407    1.027204
   81.851459   11.585807    0.352442    1.714107
   81.852809   11.580354    0.331117    1.513334
   81.854158   11.574902    0.355004    1.737879
   81.855507   11.569452    0.182698    0.395892
   81.856857   11.564012    0.374386    1.919883
   81.858207   11.558573    0.410305    2.257618
   81.859555   11.553132    0.385848    2.027378
   81.860904   11.547686    0.424737    2.393063
   81.862250   11.542221    0.366887    1.848681
   81.863595   11.536752    0.423037    2.376741
   81.864940   11.531280    0.407946    2.234611
